time,SMA
9/7/2018,80.9827
9/6/2018,80.9773
9/5/2018,81.01
9/4/2018,81.039
8/31/2018,81.0942
8/30/2018,81.1393
8/29/2018,81.1652
8/28/2018,81.1622
8/27/2018,81.1737
8/24/2018,81.1975
8/23/2018,81.2245
8/22/2018,81.2648
8/21/2018,81.2392
8/20/2018,81.2372
8/17/2018,81.2615
8/16/2018,81.3263
8/15/2018,81.387
8/14/2018,81.476
8/13/2018,81.5258
8/10/2018,81.5812
8/9/2018,81.6245
8/8/2018,81.649
8/7/2018,81.6673
8/6/2018,81.6675
8/3/2018,81.6932
8/2/2018,81.6887
8/1/2018,81.6583
7/31/2018,81.6142
7/30/2018,81.5373
7/27/2018,81.4507
7/26/2018,81.3653
7/25/2018,81.2438
7/24/2018,81.1465
7/23/2018,81.0595
7/20/2018,81.0505
7/19/2018,81.0188
7/18/2018,80.9578
7/17/2018,80.9137
7/16/2018,80.8585
7/13/2018,80.8073
7/12/2018,80.7392
7/11/2018,80.6665
7/10/2018,80.599
7/9/2018,80.502
7/6/2018,80.4073
7/5/2018,80.3257
7/3/2018,80.2383
7/2/2018,80.1155
6/29/2018,80.0007
6/28/2018,79.8888
6/27/2018,79.7705
6/26/2018,79.659
6/25/2018,79.5353
6/22/2018,79.4498
6/21/2018,79.307
6/20/2018,79.2072
6/19/2018,79.0997
6/18/2018,78.9695
6/15/2018,78.8475
6/14/2018,78.7538
6/13/2018,78.6222
6/12/2018,78.4995
6/11/2018,78.3778
6/8/2018,78.2332
6/7/2018,78.0665
6/6/2018,77.9273
6/5/2018,77.8137
6/4/2018,77.7117
6/1/2018,77.5975
5/31/2018,77.4713
5/30/2018,77.387
5/29/2018,77.2998
5/25/2018,77.252
5/24/2018,77.1935
5/23/2018,77.118
5/22/2018,77.0405
5/21/2018,76.9938
5/18/2018,76.9147
5/17/2018,76.824
5/16/2018,76.7075
5/15/2018,76.603
5/14/2018,76.5155
5/11/2018,76.4218
5/10/2018,76.3415
5/9/2018,76.2512
5/8/2018,76.1927
5/7/2018,76.1542
5/4/2018,76.1263
5/3/2018,76.127
5/2/2018,76.1572
5/1/2018,76.2058
4/30/2018,76.3322
4/27/2018,76.5208
4/26/2018,76.6793
4/25/2018,76.778
4/24/2018,76.9198
4/23/2018,77.0973
4/20/2018,77.244
4/19/2018,77.4028
4/18/2018,77.5508
4/17/2018,77.7013
4/16/2018,77.8483
4/13/2018,77.9965
4/12/2018,78.1658
4/11/2018,78.3283
4/10/2018,78.4965
4/9/2018,78.6608
4/6/2018,78.8477
4/5/2018,79.046
4/4/2018,79.2313
4/3/2018,79.4293
4/2/2018,79.626
3/29/2018,79.8507
3/28/2018,80.0243
3/27/2018,80.2048
3/26/2018,80.3768
3/23/2018,80.5418
3/22/2018,80.7267
3/21/2018,80.9012
3/20/2018,81.048
3/19/2018,81.196
3/16/2018,81.3342
3/15/2018,81.4645
3/14/2018,81.608
3/13/2018,81.763
3/12/2018,81.9062
3/9/2018,82.0315
3/8/2018,82.1727
3/7/2018,82.315
3/6/2018,82.4532
3/5/2018,82.5548
3/2/2018,82.6652
3/1/2018,82.7988
2/28/2018,82.9365
2/27/2018,83.0623
2/26/2018,83.1418
2/23/2018,83.189
2/22/2018,83.2487
2/21/2018,83.3413
2/20/2018,83.4448
2/16/2018,83.5302
2/15/2018,83.597
2/14/2018,83.6642
2/13/2018,83.7325
2/12/2018,83.8143
